StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,irb_consent,age,zip_code,county,household_income,single_parent,occupation,occupation_9_TEXT,housing,housing_5_TEXT,food,housing_stress,energy_stress,food_stress,trans_stress,internet_access,internet_devices,internet_devices_6_TEXT,child_care,child_care_needs,child_care_needs_3_TEXT,child_care_stress,clothing_stress,services,services_15_TEXT,organizations,organizations_7_TEXT,resources_non_access,resources_non_access_15_TEXT,why_non_access,why_non_access_6_TEXT,happy,sad,stressed,angry,frustrated,tired,hopeful,worried,raffle
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"You are being asked to participate in a survey research project entitled “GVUW Needs Assessment,” which is being conducted by Drs. Joseph Robbins and Keith Lee at Valdosta State University. The purpose of the study is to collect information for the Greater Valdosta United Way from the eleven county service area. You will receive no direct benefits from participating in this research study. However, your responses may help us learn more about your community’s recent and ongoing needs. There are no foreseeable risks involved in participating in this study other than those encountered in day-to-day life. Participation should take approximately 10 minutes to complete. This survey is anonymous. No one, including the researcher, will be able to associate your responses with your identity.



Your participation is voluntary. You may choose not to take the survey, to stop responding at any time, or to skip any questions that you do not want to answer. Participants must be at least 18 years of age to participate in this study. Your completion of the survey serves as your voluntary agreement to participate in this research project and your certification that you are 18 or older. You may print a copy of this statement for your records. Questions regarding the purpose or procedures of the research should be directed to Drs. Joseph Robbins (jwrobbins@valdosta.edu) or Keith Lee (keilee@valdosta.edu). This study has been approved by the Valdosta State University Institutional Review Board (IRB) for the Protection of Human Research Participants. The IRB, a university committee established by Federal law, is responsible for protecting the rights and welfare of research participants. If you have concerns or questions about your rights as a research participant, you may contact the IRB Administrator at 229-253-2947 or irb@valdosta.edu.
Do you wish to continue?",Please enter your age in years:,What is your five-digit zip code?,Which county do you live in?,What was your household income for 2022?,Do you live in a single parent household?,What is your current occupation? (Check all that apply) - Selected Choice,What is your current occupation? (Check all that apply) - Other (please specify) - Text,Which option best describes your current housing situation? - Selected Choice,Which option best describes your current housing situation? - Other (please specify) - Text,"How often, if at all, is there enough food in your household to feed all household members?","For each of the following topics, select the option that best describes how stressful each are for you currently.
Housing costs (e.g., rent, mortgage)","Home energy costs (electricity, natural gas, propane) costs",Food costs,Access to reliable transportation,"At home, how reliable is your internet access?","Which, if any, internet connected devices do you have access to in your home? (Check all that apply) - Selected Choice","Which, if any, internet connected devices do you have access to in your home? (Check all that apply) - Other (please specify) - Text",Do you require childcare?,Which option best describes your child care needs? - Selected Choice,Which option best describes your child care needs? - Other (please specify) - Text,"For each of the following topics, select the option that best describes how stressful each are for you currently.
Child care costs",Clothing costs,"Since January of 2020 which, if any, support services did you access? (check all that apply): - Selected Choice","Since January of 2020 which, if any, support services did you access? (check all that apply): - Other (please specify) - Text",Which organization(s) provided these services? (Check all that apply) - Selected Choice,Which organization(s) provided these services? (Check all that apply) - Other (please specify) - Text,"Since January of 2020 which, if any, support resources did you need but could not access? (check all that apply) - Selected Choice","Since January of 2020 which, if any, support resources did you need but could not access? (check all that apply) - Other (please specify) - Text","If you were unable to access resources, why could you not access them? (check all that apply) - Selected Choice","If you were unable to access resources, why could you not access them? (check all that apply) - Other (please specify) - Text","Please rate how you have felt since January of 2022 on each of the following areas.
I felt happy.",I felt sad.,I felt stressed.,I felt angry.,I felt frustrated.,I felt tired.,I felt hopeful.,I felt worried.,"A drawing will be held May 1st to award four $50 gift cards and one $100 gift card.



Would you like to enter the raffle to win a Walmart gift card?

 

If so, you will be directed to another survey which will collect your contact information. Your responses to the previous survey questions will remain anonymous as the two surveys will not be connected."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID27""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID5""}","{""ImportId"":""QID12""}","{""ImportId"":""QID29""}","{""ImportId"":""QID29_9_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_5_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID36_6_TEXT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID38_3_TEXT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID14""}","{""ImportId"":""QID14_15_TEXT""}","{""ImportId"":""QID42""}","{""ImportId"":""QID42_7_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID41_15_TEXT""}","{""ImportId"":""QID43""}","{""ImportId"":""QID43_6_TEXT""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID25""}"
2023-01-24 09:18:20,2023-01-24 09:19:03,IP Address,100,43,True,2023-01-24 09:19:04,R_3xXFs53VmfgwWHf,qr,EN,0.8999999761581421,Yes,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
2023-01-24 09:40:01,2023-01-24 09:40:40,IP Address,100,38,True,2023-01-24 09:40:42,R_1oHJl9GfD18xzQg,qr,EN,1,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
2023-01-24 10:10:30,2023-01-24 10:14:33,IP Address,100,243,True,2023-01-24 10:14:34,R_3MAvR0OTXd3VabI,qr,EN,1,Yes,42,31601,Lowndes,"$70,001 - $90,000",Yes,Employed full-time (32 hours or more per week),,I own my own home or apartment,,All of the time,Somewhat stressful,Somewhat stressful,Not stressful,Not stressful,Somewhat reliable,"Laptop computer,Smartphone (e.g., iPhone),Smart home device (e.g., Alexa, Google Home)",,"Not applicable, my children are old enough they do not require childcare",,,"Not applicable, I do not have to pay for this",Not stressful,"Mental health services,Utilities,Healthcare",,"Faith-Based Oranizations,Homeless Shelter",,"None, I was able to access all the resources I needed",,,,Most of the time,Some of the time,Most of the time,Some of the time,Some of the time,Most of the time,Rarely,Nearly always,Yes
2023-01-24 12:20:21,2023-01-24 12:20:26,IP Address,100,4,True,2023-01-24 12:20:27,R_2wakrDn5zFoTSNC,anonymous,EN,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-24 12:21:28,2023-01-24 12:21:33,IP Address,100,4,True,2023-01-24 12:21:33,R_270VkeXJp0yvAHj,anonymous,EN,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-24 12:21:50,2023-01-24 12:21:53,IP Address,100,3,True,2023-01-24 12:21:54,R_3P63eKF0A9nrjFP,anonymous,EN,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-24 12:23:12,2023-01-24 12:23:16,Spam,100,4,True,2023-01-24 12:23:17,R_12tBMIMyt7CtH0e,anonymous,EN,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-24 12:38:26,2023-01-24 12:40:07,IP Address,100,100,True,2023-01-24 12:40:07,R_UtGwfS9M02jP1Sh,anonymous,EN,1,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
